City,Hotel Name,Address,Overall Rating,Average Review Rating,Negative,Neutral,Positive,Compound
Kuala Lumpur,DeFace Platinum Suites,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, KLCC, Kuala Lumpur, Malaysia, 50250",8.4,7.88,0.0517,0.684458333,0.247191667,0.346030833
Kuala Lumpur,Melia Kuala Lumpur,"16, Jalan Imbi, Bukit Bintang, Kuala Lumpur, Malaysia, 55100",8.1,8.56,0.055241667,0.657941667,0.286875,0.266270833
Kuala Lumpur,Silka Cheras Hotel Kuala Lumpur,"KM10, Jalan Cheras, Cheras, Kuala Lumpur, Malaysia, 56000",7.5,7.336666667,0.060158333,0.646175,0.277025,0.2588925
Kuala Lumpur,DoubleTree by Hilton Hotel Kuala Lumpur,"The Intermark, 348 Jalan Tun Razak, KLCC, Kuala Lumpur, Malaysia, 50400",8.5,8.953333333,0.032908333,0.585616667,0.381483333,0.4904625
Kuala Lumpur,Pacific Regency Hotel Suites,"KH Tower, Jalan Punchak, Off Jalan P. Ramlee (Opposite KL Tower), KLCC, Kuala Lumpur, Malaysia, 50250",7.8,7.83,0.0605,0.681166667,0.258316667,0.217938333
Kuala Lumpur,D'Majestic Place by Widebed,"Pudu, Kuala Lumpur, Malaysia",7.8,7.26,0.067233333,0.693391667,0.239358333,0.32708
Kuala Lumpur,The Saujana Hotel Kuala Lumpur,"Jalan Lapangan Terbang SAAS, Subang Jaya, Kuala Lumpur, Malaysia, 40150",7.9,8.443333333,0.039041667,0.596166667,0.356491667,0.49939
Kuala Lumpur,Sunway Putra Hotel Kuala Lumpur,"100 Jalan Putra, Chowkit / Putra WTC, Kuala Lumpur, Malaysia, 50350",8.5,9.276666667,0.023358333,0.577925,0.390383333,0.51575
Kuala Lumpur,The Best KLCC View @ Regalia Residences,"Block C (milan) Lobby, Regalia Residence, No. 2, Jalan Anjung Putra, Off Jalan Sultan Ismail, Chowkit / Putra WTC, Kuala Lumpur, Malaysia, 50350",8.2,8.353333333,0.077183333,0.62085,0.301991667,0.198236667
Kuala Lumpur,Hilton Garden Inn Kuala Lumpur - South,"No. 452 Jalan Tuanku Abdul Rahman, Chowkit / Putra WTC, Kuala Lumpur, Malaysia, 50100",8.3,8.47,0.061408333,0.596741667,0.316825,0.325333333
Kuala Lumpur,Dorsett Kuala Lumpur,"172, Jalan Imbi,, Bukit Bintang, Kuala Lumpur, Malaysia, 55100",8.1,7.58,0.079075,0.717858333,0.203083333,0.117839167
Kuala Lumpur,Arte Plus by Afflexia Serviced Suites KLCC,"G-02, Ground Floor, Arte Plus @ Jalan Ampang No 3, Lorong Ampang 1,, KLCC, Kuala Lumpur, Malaysia, 55000",7.1,6.59,0.0948,0.664683333,0.240508333,0.11464
Kuala Lumpur,Grand Hyatt Kuala Lumpur Hotel,"12 Jalan Pinang, KLCC, Kuala Lumpur, Malaysia, 50450",9.1,9.42,0.021216667,0.606591667,0.372183333,0.6404525
Kuala Lumpur,"Hotel Stripes Kuala Lumpur, Autograph Collection","25 Jalan Kamunting, Golden Triangle, Kuala Lumpur, Malaysia, 50300",9,8.8,0.025291667,0.658191667,0.316533333,0.590980833
Kuala Lumpur,Avani Sepang Goldcoast Resort,"No 67 Jalan Pantai Bagan Lalang, Kg Bagan Lalang, Sepang / KLIA, Kuala Lumpur, Malaysia, 43950",7.5,8.133333333,0.04215,0.667641667,0.290183333,0.39193
Kuala Lumpur,Sunway Velocity Hotel Kuala Lumpur,"Lingkaran SV, Sunway Velocity, Cheras, Pudu, Kuala Lumpur, Malaysia, 55100",8.6,9.17,0.01755,0.549325,0.4206,0.42402125
Kuala Lumpur,Traders Hotel Kuala Lumpur,"Kuala Lumpur City Centre, KLCC, Kuala Lumpur, Malaysia, 50088",8.9,9.396666667,0.013458333,0.612391667,0.37415,0.665000833
Kuala Lumpur,Hilton Kuala Lumpur,"3 Jalan Stesen Sentral, KL Sentral, Kuala Lumpur, Malaysia, 50470",8.9,9.34,0.029108333,0.616325,0.321283333,0.565163333
Kuala Lumpur,Corus Hotel,"Jalan Ampang, KLCC, Kuala Lumpur, Malaysia, 50450",8,8.916666667,0.030975,0.609166667,0.343208333,0.388981667
Kuala Lumpur,The Robertson Kuala Lumpur,"The Robertson, No 2, Jalan Robertson, Bukit Bintang, Kuala Lumpur, Malaysia, 50150",8.6,8.603333333,0.044333333,0.643333333,0.303983333,0.469614167
